ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
BIA,Undetermined,Undetermined,0-25,Flat,0501-1500,004N,002W,27,Copper River,,N,,Undetermined
ANCSA,Undetermined,Undetermined,0-25,Flat,0501-1500,004N,002W,25,Copper River,,N,,Undetermined
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0501-1500,010S,011E,6,Fairbanks,BLACK SPRUCE,N,,Human
NPS,Human,Human,0-25,Flat,1501-2500,014S,007W,3,Fairbanks,,N,,Human
Private,Debris and open burning,Other land clearing,0-25,Flat,0501-1500,011S,012E,18,Fairbanks,MOSS/SPRUCE,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,001S,001W,2,Fairbanks,"Jack straw,B. Spruce",N,,Human
ANCSA,Human,Human,0-25,Flat,1501-2500,017S,007W,22,Fairbanks,,N,,Human
Private,Other causes,Structure,0-25,Flat,0-500,023N,004W,32,Seward,leaf litter,N,,Human
State,Human,Human,0-25,Flat,0501-1500,010S,010E,14,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0-500,001S,001E,9,Fairbanks,,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0501-1500,019N,007W,23,Fairbanks,,N,,Natural
State,Human,Human,0-25,Flat,0-500,005N,009W,33,Seward,,N,,Human
City,Other causes,Structure,0-25,South East,0501-1500,001N,004W,13,Fairbanks,hazmat/spruce,N,,Human
Private,Other causes,Structure,0-25,Flat,0-500,002N,012W,12,Seward,"Grass, trees",N,,Human
Private,Undetermined,Undetermined,0-25,Flat,0-500,005N,011W,26,Seward,,Y,,Undetermined
BLM,Human,Human,0-25,Flat,0501-1500,001S,032E,36,Fairbanks,,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,018N,013E,20,Copper River,"DUFF, ASPEN",N,,Human
County,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,008S,009W,15,Fairbanks,black spruce/shrubs ,N,,Human
State,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,018N,013E,7,Copper River,Duff,N,,Human
State,Human,Human,0-25,Flat,0501-1500,003S,006W,14,Fairbanks,,N,,Human
State,Undetermined,Undetermined,0-25,East,2501-3500,017N,011E,25,Copper River,,Y,,Undetermined
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0-500,008N,011W,34,Seward,Birch tree,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,039S,064E,3,Copper River,Spruce/Duff,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0-500,008N,010W,10,Seward,,Y,,Undetermined
USFWS,Recreation and ceremony,Campfire,0-25,Flat,0-500,005N,007W,11,Seward,leaf; duff,N,,Human
ANCSA,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,1501-2500,016N,015E,27,Copper River,Black Spruce,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,1501-2500,018N,012E,13,Copper River,Black Spruce,N,,Human
BLM,Natural,Lightning,0-25,South West,2501-3500,004N,018E,18,Fairbanks,,N,,Natural
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,010S,011E,21,Fairbanks,Hardwoods,N,,Human
USFWS,Natural,Lightning,0-25,Flat,3501-4500,009N,014E,12,Copper River,Black Spruce,N,,Natural
USFS,Undetermined,Not investigated,0-25,North East,0-500,063S,083E,26,Copper River,Regen,N,,Human
State,Undetermined,Origin and/or cause not identified,0-25,Flat,0501-1500,008S,009W,15,Fairbanks,tundra/grass/BS,N,,Human
USFS,Undetermined,Undetermined,26-40,North West,0501-1500,040S,066E,9,Copper River,,Y,,Undetermined
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,1501-2500,018N,012E,12,Copper River,SPRUCE TUNDRA,N,,Human
NPS,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,014S,007W,36,Fairbanks,,N,,Human
BLM,Natural,Lightning,0-25,Flat,0-500,010N,018E,12,Kateel River,,N,,Natural
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,003N,001W,33,Copper River,"willow, black spruce",N,,Human
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,009S,010E,27,Fairbanks,Hardwood/Grass,N,,Human
Private,Undetermined,Not investigated,0-25,Flat,0-500,072S,084E,11,Copper River,Brush,N,,Human
State,Debris and open burning,Burn Barrel,0-25,Flat,1501-2500,018N,012E,34,Copper River,cont. black spruce,N,,Human
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,010S,011E,7,Fairbanks,Grass,N,,Human
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,1501-2500,004N,005W,30,Copper River,Mixed Hardwoods,N,,Human
State,Undetermined,Undetermined,0-25,South,2501-3500,025N,022E,27,Copper River,Black Spruce,Y,,Undetermined
City,Recreation and ceremony,Campfire,0-25,Flat,0-500,007S,013W,1,Seward,"wood, coal",N,,Human
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0-500,026N,004W,31,Seward,Duff layer,N,,Human
ANCSA,Debris and open burning,Open trash burning,0-25,Flat,0-500,020N,012E,16,Fairbanks,,N,,Human
NPS,Undetermined,Undetermined,0-25,North West,0501-1500,007N,021E,20,Fairbanks,,Y,,Undetermined
BLM,Natural,Lightning,0-25,Flat,1501-2500,010S,028W,12,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,008S,010E,16,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,011S,026W,22,Fairbanks,,N,,Natural
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,28,Fairbanks,,N,,Human
BLM,Natural,Lightning,0-25,Flat,0501-1500,015N,033W,21,Seward,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,030N,038W,16,Seward,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,026S,020E,17,Kateel River,"Tundra, mixed hardwo",N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,026S,019E,12,Kateel River,,N,,Natural
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,010E,29,Fairbanks,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,1501-2500,005S,017E,15,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,004N,003W,4,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,0-500,023N,010E,28,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,003N,002W,20,Fairbanks,SPRUCE,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,006N,005W,7,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0-500,001S,006W,6,Fairbanks,,Y,,Undetermined
ANCSA,Natural,Lightning,0-25,Flat,1501-2500,006S,032E,33,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,South West,1501-2500,018N,022E,36,Copper River,BLACK SPRUCE/HW,N,,Natural
State,,,0-25,Flat,0-500,024N,004W,19,Seward,GRASS/ MIXED HARD,N,,Human
ANCSA,Natural,Lightning,0-25,Flat,0-500,022N,009E,5,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,001S,032E,10,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,East,1501-2500,020N,010E,22,Copper River,"timber, slash",N,,Natural
ANCSA,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,026N,006E,31,Fairbanks,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0-500,001N,006W,6,Fairbanks,,Y,,Undetermined
NPS,Undetermined,Not investigated,0-25,Flat,0-500,017S,041W,27,Seward,,N,,Human
Private,,,0-25,Flat,1501-2500,018N,010E,1,Copper River,Slash/Hardwood,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0501-1500,005N,007W,24,Fairbanks,,Y,,Undetermined
ANCSA,Undetermined,Undetermined,0-25,North,0501-1500,002N,032E,11,Fairbanks,,Y,,Undetermined
State,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,018N,012E,12,Copper River,TUNDRA AND SPRUCE,N,,Human
State,Undetermined,Undetermined,0-25,Flat,2501-3500,019N,014E,13,Copper River,,Y,,Undetermined
Private,Other causes,Structure,0-25,Flat,0-500,007N,011W,17,Seward,Grass,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0-500,001S,001E,19,Fairbanks,,N,,Human
State,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,015N,005E,2,Seward,Brush/hardwood,N,,Human
State,Undetermined,Undetermined,0-25,Flat,2501-3500,026N,010E,33,Copper River,,Y,,Undetermined
Private,Debris and open burning,Burn Barrel,0-25,Flat,1501-2500,008N,008W,22,Copper River,Shrubs and timber,N,,Human
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0-500,005N,010W,21,Seward,Birch tree,N,,Human
ANCSA,Undetermined,Not investigated,0-25,Flat,0-500,044S,061E,5,Copper River,Duff/ Timber,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,011S,007E,24,Fairbanks,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0-500,002N,008W,26,Fairbanks,,Y,,Undetermined
State,Recreation and ceremony,Other,0-25,Flat,0-500,015N,005E,8,Seward,"grass, black spruce",N,,Human
City,Recreation and ceremony,Campfire,0-25,Flat,0-500,007S,013W,1,Seward,Coal,N,,Human
Private,Recreation and ceremony,Ceremonial fire,0-25,West,0-500,005N,010W,29,Seward,Duff,N,,Human
USFWS,Recreation and ceremony,Campfire,0-25,North East,0-500,005N,006W,25,Seward,Moss,N,,Human
BIA,Natural,Lightning,0-25,Flat,0501-1500,022N,006E,8,Copper River,Black spruce,N,,Natural
USFS,Recreation and ceremony,Campfire,0-25,Flat,0-500,040S,065E,29,Copper River,Duff / Grass,N,,Human
State,Smoking,Cigar/cigarette/pipe,0-25,Flat,1501-2500,018N,013E,19,Copper River,Grass,N,,Human
State,Natural,Lightning,0-25,South,1501-2500,007S,012E,23,Fairbanks,Hrdwoods/leaf litter,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,2501-3500,006N,032E,26,Fairbanks,,Y,,Undetermined
USFWS,Recreation and ceremony,Campfire,0-25,Flat,0-500,004N,005W,9,Seward,"Moss, Black Spruce",N,,Human
USFS,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,011N,002E,34,Seward,Grass,N,,Human
County,Undetermined,Undetermined,0-25,Flat,0501-1500,006S,005E,31,Fairbanks,,Y,,Undetermined
Private,Other causes,Structure,0-25,Flat,0-500,007N,011W,8,Seward,"Black spruce, moss",N,,Human
NPS,Undetermined,Not investigated,0-25,Flat,0-500,003N,028W,25,Seward,Black Spruce/brush,N,,Human
ANCSA,Recreation and ceremony,Campfire,0-25,Flat,0-500,002N,011W,21,Seward,Moss,N,,Human
Private,Misuse of fire by a minor,Other,0-25,Flat,0-500,005N,011W,22,Seward,grass/brush,N,,Human
ANCSA,Natural,Lightning,0-25,Flat,0501-1500,007N,032E,15,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,003N,002W,25,Fairbanks,Black spruce/hd wood,N,,Natural
State,Recreation and ceremony,Campfire,0-25,Flat,0-500,015N,005E,3,Seward,"grass, brush",N,,Human
BLM,Natural,Lightning,0-25,Flat,0501-1500,014N,015W,32,Fairbanks,,N,,Natural
USFS,Debris and open burning,Burning personal items,0-25,Flat,0-500,069S,081E,12,Copper River,"Hemlock, Spruce, Gra",N,,Human
NPS,Natural,Lightning,0-25,Flat,1501-2500,030N,006W,15,Kateel River,,N,,Natural
NPS,Natural,Lightning,0-25,Flat,0501-1500,032N,011W,8,Kateel River,,N,,Natural
