ESTIMATEDTOTALACRES,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,SPRUCE,MUNDRA,GRASS,BRUSH,HARD,LEAF,UNKNOWN,OTHER
0.5,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,1,0,0,0,0,0,0
0.1,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,1,0,0
0.3,0-25,South East,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,1501-2500,0,0,0,0,0,1,0,0
1.5,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0,0-25,Flat,1501-2500,0,0,0,0,0,1,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,0-500,1,0,0,0,0,1,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,1,0,0
0.1,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
0.3,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,3501-4500,1,0,0,0,0,0,0,0
0.3,0-25,North East,0-500,0,0,0,0,0,0,0,1
0.8,0-25,Flat,0501-1500,1,1,1,0,0,0,0,0
0.1,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,0-500,0,0,0,1,0,0,0,0
0.5,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
0.3,0-25,Flat,1501-2500,0,0,0,0,1,0,0,0
0,0-25,South,2501-3500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0,0-25,Flat,0-500,0,0,0,0,0,1,0,0
96.5,0-25,Flat,0-500,0,1,0,0,1,0,0,0
0.3,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
19981.7,0-25,South West,1501-2500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,1,0,0,0
1,0-25,East,1501-2500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,1501-2500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,1501-2500,1,1,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.2,0-25,Flat,0501-1500,0,0,0,1,1,0,0,0
0.1,0-25,Flat,1501-2500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,0-500,0,0,0,0,0,1,0,0
0.1,0-25,Flat,0-500,1,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.1,0-25,West,0-500,0,0,0,0,0,1,0,0
0.1,0-25,North East,0-500,0,1,0,0,0,0,0,0
0.5,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,1,0,0
0.1,0-25,Flat,1501-2500,0,0,1,0,0,0,0,0
0.2,0-25,South,1501-2500,0,0,0,0,1,1,0,0
0.1,0-25,Flat,0-500,1,1,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
